smiles,scaffold,r1_fragment,r2_fragment,is_biased,id,mw,logp,hbd,hba,tpsa,rotatable_bonds,ring_count,aromatic_rings,heavy_atoms,num_heteroatoms,pass_lipinski,pass_veber,pass_complexity,pass_aggregation,pass_pains,passes_all,qed,sa_score,sa_inv,binding_proxy,logp_dev,tpsa_score,norm_qed,norm_sa,norm_binding,norm_logp,norm_tpsa,composite_score,robustness_bonus,final_score,rank
CCc1nc2c([nH]1)=CC=CC1=CC=CC=CC=21,benzimidazole,CC,c1ccccc1,False,SMOL-0472,222.291,1.5254999999999999,1,1,28.68,1,3,1,17,2,True,True,True,True,True,True,0.7666,3.5,0.65,0.21,0.9745,0.0,0.7666,0.65,0.21,0.2436,0.0,36.03,6.6,42.63,347
Nc1cc2c3cc1C(C=CN=2)COCCNN=3,other,N,C1COCCN1,True,SMOL-0307,230.27099999999996,-0.3463,2,5,72.0,0,4,1,17,5,True,True,True,True,True,True,0.5985,9.6,0.04,0.5225,2.8463,1.0,0.5985,0.04,0.5225,0.7116,1.0,39.32,3.3,42.62,348
NC(=O)C1=CC2CNCCNNN=C12,pyrazole,C(=O)N,C1CNCCN1,True,SMOL-0284,195.226,-1.9186999999999985,4,5,91.54,1,2,0,14,6,True,True,True,True,True,True,0.3924,4.19,0.5814,0.5388,4.4187,1.0,0.3924,0.5814,0.5388,1.0,1.0,42.6,0.0,42.6,349
NS(=O)(=O)C1=c2[nH]c3cc2=CNCCNCC3C=C1,indole,S(=O)(=O)N,C1CNCCN1,True,SMOL-0189,280.353,-2.004399999999997,4,4,100.01,1,3,1,19,7,True,True,True,True,True,True,0.4777,8.11,0.1895,0.615,4.5044,1.0,0.4777,0.1895,0.615,1.0,1.0,39.18,3.4,42.58,350
COc1cc2cccc(Cl)c2[nH]1,indole,Cl,OC,False,SMOL-0478,181.62199999999999,2.8299000000000003,1,1,25.02,1,2,2,12,3,True,True,True,True,True,True,0.7192,3.0,0.7,0.16,0.3299,0.0,0.7192,0.7,0.16,0.0825,0.0,35.96,6.6,42.56,351
COc1[nH]c2ccccc2c1Cl,indole,OC,Cl,False,SMOL-0408,181.62199999999996,2.829900000000001,1,1,25.02,1,2,2,12,3,True,True,True,True,True,True,0.7192,3.0,0.7,0.16,0.3299,0.0,0.7192,0.7,0.16,0.0825,0.0,35.96,6.6,42.56,352
Oc1cc2c3cc1C(C=CN=2)COCCNN=3,other,O,C1COCCN1,True,SMOL-0183,231.25499999999997,-0.22290000000000004,2,5,66.21000000000001,0,4,1,17,5,True,True,True,True,True,True,0.6483,9.6,0.04,0.4663,2.7229,1.0,0.6483,0.04,0.4663,0.6807,1.0,39.19,3.3,42.49,353
COc1cc2cccc(C)c2[nH]1,indole,C,OC,False,SMOL-0355,161.20399999999998,2.48492,1,1,25.02,1,2,2,12,2,True,True,True,True,True,True,0.6825,3.0,0.7,0.16,0.0151,0.0,0.6825,0.7,0.16,0.0038,0.0,35.82,6.6,42.42,354
COc1cc2c([nH]1)=C1C=CC1CNCCNC=2,indole,C1CNCCN1,OC,True,SMOL-0278,231.299,-0.7091999999999992,3,3,49.08,1,3,1,17,4,True,True,True,True,True,True,0.5983,4.3,0.57,0.4425,3.2092,0.5,0.5983,0.57,0.4425,0.8023,0.5,39.11,3.3,42.41,355
C1=C2C1COCCNc1ccccccnn12,pyrazole,C1COCCN1,c1ccccc1,True,SMOL-0144,229.28300000000004,1.9203,1,4,39.08,0,3,1,17,4,True,True,True,True,True,True,0.7384,4.3,0.57,0.3562,0.5797,0.0,0.7384,0.57,0.3562,0.1449,0.0,39.1,3.3,42.4,356
CNC(=O)C1=c2[nH]c3nc2=CNCCOCC3C=C1,indole,C(=O)NC,C1COCCN1,True,SMOL-0031,260.29699999999997,-1.6823999999999975,3,4,79.04,1,3,1,19,6,True,True,True,True,True,True,0.5633,7.95,0.2053,0.4163,4.1824,1.0,0.5633,0.2053,0.4163,1.0,1.0,35.67,6.7,42.37,357
Clc1nc2c([nH]1)=CC=CC1COCCNC=21,benzimidazole,Cl,C1COCCN1,True,SMOL-0346,237.68999999999997,-0.24240000000000012,2,3,49.94,0,3,1,16,5,True,True,True,True,True,True,0.6549,4.34,0.5663,0.3562,2.7424,0.5,0.6549,0.5663,0.3562,0.6856,0.5,39.03,3.3,42.33,358
COc1nc2c([nH]1)=CC=CC1=CC=CC=CC=21,benzimidazole,OC,c1ccccc1,False,SMOL-0453,224.263,0.9717000000000002,1,2,37.91,1,3,1,17,3,True,True,True,True,True,True,0.7716,3.5,0.65,0.24,1.5283,0.0,0.7716,0.65,0.24,0.3821,0.0,35.67,6.6,42.27,359
